title,body,assignee,milestone,labels
DFA RACF Access Connect  AWS ,Get International team full access to DFA.  Rewrite Libname statement to eliminate separate ODBC setup and utilize &RACFPW Retire shared id  jdf ro  and establish individual RACF security JDF DFA team is not willing to grant new access to the AWS version of DFA  where we have the shared jdf ro id set up  because they are transitioning to the EDL and want users to use that data.  No new security is being allowed through the AWS platform.   Could  potentially  hit EDL DFA through SAS but would still require ODBC connection which is what we're trying to avoid.  Since this doesn't give much lift have determined just to wait for Andrew's new method of hitting DFA data as part of the Feature F10180 DFA Data Re Design This user story will be moved to my backlog until it's satisfied  by other means  through that feature.  ,adschiltz,,DFA Globalization   Risk Analytics' Usage
GTF Data: Productionize Trial Balance,Contact:  Sean HunterGTF Contacts:  Bobbi Jo Hoch Greg WarwickRequests: Get access to GTF data in Alfa  replacing Nortridge  Push for solution to include mitigants  Exposures and Mitigants needed per country    Mitigants should be properly identified separated  do not just assume they are CCI any longer    Outcome:  Automate this.  Even if only exposures are available at this time automate that piece. ,adschiltz,,None
IN Top up Refi   Write off Charts,blank,adschiltz,,None
Brazil Wholesale FSCM reconciliation,Determine if FSCM can be relied upon for Brazil's reporting in Country Risk.  Explore differences between exposures and mitigants from FSCM vs manual extract to identify issues and work toward resolution. Provided May analysis to Mauricio on 6 July but he's out for the next couple of weeks.    ,adschiltz,,Country Risk Reporting
Retrieve Operational Writeoffs  for charts ,Transition essbase retrieves for write off charts to use Operational Write offs.   Operational Write offs = Write offs  minus  Total Credit Enhancement Recoveries  minus  Gain Loss on Repossessed Leases Start with UK and Germany as those are the only portfolios where operating leases exist currently.Then Brazil  they will soon   retail only Then the remainder.   TBD:  Replace Writeoffs with Operational Write offs?  Or bring in all components for visibility? ,adschiltz,,Risk Analytics Support
Explore Tools for Interactive Dashboard,Explore tools for Interactive Dashboard RShiny explore  preferred over Logic Manager  Share Mocked up dashboard with Tom Stewart for feasibility thoughts  ,adschiltz,,Internal External Country Risk Rethink
Create Interactive Dashboard for internal risk updates,Create Interactive Dashboard for Internal Risks Updates Deliver External risks per country Allow for Accept or Change If change prompt for Riskier or Less Risky  ,adschiltz,,Internal External Country Risk Rethink
Define Calculation of Internal score category,Define calculation of internal score category How does riskier or less risky drive our calculation of internal risk score category?  ,adschiltz,,Internal External Country Risk Rethink
ScatterPlot Rethink,ScatterPlot rethink Replace quadrants with diagonals Allow for more subtle transitions  rather than large jumps   ,adschiltz,,Internal External Country Risk Rethink
Design new ScatterPlot,blank,adschiltz,,Internal External Country Risk Rethink
Productionize Interactive Dashboard,Productionize new Interactive Dashboard Country Manager intro and training on new process Request first iteration update of data  ,adschiltz,,Internal External Country Risk Rethink
Productionize ScatterPlot,blank,adschiltz,,Internal External Country Risk Rethink
Data Architecture of new Int Ext Risk process,Data Architecture of new Int Ext Risk process  Incorporate into Country Risk quarterly process  ,adschiltz,,Internal External Country Risk Rethink
Clean up SAS logs  remove warnings notes ,blank,adschiltz,,Risk Analytics Support
Ingest S&P Global: Subscription License,Understand S&P Subscription  Kanlaya Jim Hoke    Do we have the right contract?        Can see country risk scores on the website  through Andrew's license  which supports the fact that our subscription includes this risk data.  Andrew exported some data for me to explore.  Will be able to know more about what we have access to and what we may still need once the API is set up and we can hit the data directly.  As we review license and enter into discussions with IHS team we need to be sure we understand all of our current future use cases who has licenses etc.  Track this data here: License Query.xlsx,adschiltz,,None
Ingest S&P Global: Data Gathering,How do I connect to the data?   Ingest data  API ,adschiltz,,None
Ingest S&P Global: Data Explore,Explore  with Andrew through his license  the country risk ratings scores on website.  Export data for data discovery.   M:SupportAreasCountryRiskIHS Markit ExploreQ Country Risk Scores  07 02 2023.xlsx,adschiltz,,None
Exchange Rate Data Enhancement,Output raw data to each portfolio chart  new xf tab  as needed.  Create table for reporting To replace reliance on excel file managed by ERM team.     ,adschiltz,,Risk Analytics Support
Define S&P Categories: Compare Mappings,EIU vs S&P alignment differences etc.,adschiltz,,None
Define S&P Categories: Create New Alignment,Set Categories VL L M H VH ? Other? ,adschiltz,,None
Define S&P Categories: Analyze scale conversion,Does new external category translate well to internal categories?  Make sense?   ,adschiltz,,None
Ingest Country  of residence  from FSCM  RASAP delivery ,Permanent solution to properly account for Eurasia Group AG's exposure.  Need to count their exposure at the country of residence address  Switzerland  instead of their primary country of operations  Kazakhstan now but was listed as Kyrgyzstan in error .   Working with Jared Bremer as he researches adding this field the the sFTP data extract  put into our RASAP folder nightly ,adschiltz,,Country Risk Reporting
Convert R2 Portfolio Graphs from dcLux to JDFRpt Cube,blank,adschiltz,,Risk Analytics Support
Convert R2 Operations Dashboards from dcLux to JDFRpt Cube,Operations Dashboard for UK Germany and Spain.     ,adschiltz,,Risk Analytics Support
US Wholesale Country Risk Reporting Issue Fix,Research and Fix  historically and current  how Country Risk process uses US Wholesale inputs. If US dealer exists in a wholesale manual extract  SSA  then only the manual data is used in country risk ignoring what exists in FSCM.   Need to understand this dealer better BP 10035572  meeting set for 22May with R1 team  to know if we can solely rely on FSCM instead or if we need to consider both FSCM and Manual data.       get this dealer properly reported in FSCM?      is this dealer being included in the SSA extract even accurate?  Appears to be but need to better understand situation. In addition to knowing the current status of the SSA US dealer: Adjust code to do the right thing going forward Republish historical data implementing the same logic for the quarters impacted by this     ,adschiltz,,Country Risk Reporting
CR 2023Q3: Risk Appetite Scorecard reporting,Complete assigned tasks in Logic Manager for each country.  Submit tasks within two days of CPC meeting. CPC Meeting:  July 25 Risk Appetite Scorecard:  2023 Q2based on Country Risk 2023Q3As of Date:  6 31 2023 Use details from http:  M:SupportAreasCountryRiskBSC MetricsLogicManager RiskAppetiteProcessDoc.docx to determine which countries should be included each quarter in the scorecard.      ,adschiltz,,None
Country Risk 2023Q3,Activities to prepare the quarterly Country Risk material.     CPC meeting: July 25 2023Due to Cullen:  July 11 Meet with Dan: July 18 ,adschiltz,,Country Risk Reporting
Enhance Trade Credit PLOL usage in country risk,Currently only utilize Policy Limits  PLOL  for policies assigned to an individual country.   We should have enough data to break out policies that are designed for multiple countries and apply those to individual countries.  Need to explore options.  ,adschiltz,,Country Risk Reporting
Argentina Scorecard Char Anal follow up,Create Characteristic Analysis using the development sample data to understand the peak in QI.,adschiltz,,AR21 Scorecard & Decision Strategy   Implementation
MX Auto Decline    Initiative to Reduce Overrides,1. Understand the actions that have been taken by Ops team in Mexico to reduce override numbers when an application is auto declined and if they are solid enough to maintain the long term downtrend . 2. Understand the performance of the applications that have been overwritten and compare them with similar applications that have been manual reviewed and booked.,adschiltz,,R3 Scorecard & Decision Strategy Monitoring
Job Shadow   UW,Perform a job shadow with different teams to get a better understanding of the full credit process.All the meetings will be recorded and saved in a folder for future training. ,adschiltz,,None
BRAg23 Ag Scoring Model Redevelop   Model Training,blank,adschiltz,,BRAg23 Ag Scoring Model Redevelop
BR C&F Periodic Review,Perform the periodic review for BR C&F model.,adschiltz,,None
Serasa    Vendor Model Validation,This user story is related to take all Serasa Scores documentation  translate if needed  and send to the Validation Team.,adschiltz,,None
Data Translation   OMDM Ctab x Pega Ctab,Create a data translation layer in SAS that will allow to join OMDM ctab and Pega Ctab having a single Ctab dataset for Brazil.,adschiltz,,BR OMDM migration to PEGA
BR CF   Pre Screen: Data Analysis Support,With the data sample created the team should analyze and recommend the main features that most impact the decline of an application.Acceptance Criteria: A report with team's recommendation of features that impact the decline of an application and which should be used to Pre Screen C&F.,adschiltz,,BR   CF Prescreen iniciative
SOTPR Round 1,Prepare the SOTPR Mexico presentation for round 1.,adschiltz,,None
CN21 Scorecard Dev Sample Creation,Creating the development sample for China Ag scorecard  ** This is a placeholder that will get sub user stories added once defined.  40 day estimate as an order of magnitude SWAG.   CRH **,adschiltz,,CN21 China Scorecard Development
IN   LM Attribute perf. report,blank,adschiltz,,None
Loan Review Data and reporting,Talked to VG and suggested using the tables below. VG will prioritize the work in the next sprint due to Diwali.          Table         Description              App         Data for all applications  most fields are in this table              Crosstab first         Data for the first scoring submission             Crosstab last         Data for the last scoring submission             Pmr         Data for all booked Applications        Waiting to hear back from VG,adschiltz,,R1 Portfolio Management
CN21 Scorecard  data privacy access and exploration,Excel file PII:Guarantor details  name and ID   ,adschiltz,,None
CN   Application Data,Data migration is almost complete to consolidate CDS and CACD data in one place targeting Dec 2022Privacy requirements  defined and started coordinating with between Jeff Su and Vinayak,adschiltz,,None
IN   Validation Credit Life Insurance Value,details in the email string below,adschiltz,,None
IN23   SC redevelopment prep Agrograph data,This user story is work through the data provided by Agrograph understanding and testing how to merge it with the development sample,adschiltz,,IN23   India Scorecard Redevelopment
IN23   SC redevelopment additional attributes,Adding the list of attributes below to the development sample.,adschiltz,,IN23   India Scorecard Redevelopment
IN23   creating development sample,Creating different variation of the development sample to be tested in model builder,adschiltz,,IN23   India Scorecard Redevelopment
IN  Reverse balloon payment for 60 Month Term analysis,blank,adschiltz,,None
Utkarsh 2.0 Tables,The XXMOBL changes file has all the tables and fields used from XXMOBL,adschiltz,,None
IN   Enabling Instant Decline,To enable Instant Decline update the IN RTL ActionCodes to match the attached screenshot and submit Batch 21 to get enough examples. This will be a minor change since the logic was built previously,adschiltz,,IN Auto Decline
Assist in Mentoring Sangram Patil,Show Sangram Patil the scorecard development process and how it works.,adschiltz,,None
IN RBI Data   Planning,Work from the menu of options Tom lists below to arrive at the preferred solution. Then layout a plan for how we can get there and achieve compliance. Steps for plan execution should be separate user stories from this one.  Ensure coordination with Vijay's team to remove the AWS load of data to the Virginia AWS data center that was just implemented for Global Aggregations Report. ,adschiltz,,IN RBI In Country Data Storage Rule
IN23   Proj Cost Benefit for Accounting,Work with Deepak to fill in cost benefit sheet requested by India accounting,adschiltz,,IN23   India Scorecard Redevelopment
IN Wirtgen Credit Life cycle Reporting,blank,adschiltz,,None
missing attributes in collateral table JDFy,below are the missing data points in JDFy that will be added before the full release date   Adroit auto   EquipMeterType   MSRP,adschiltz,,R1   JDFy roll out
missing XXmbl data in Dynamo DB,Identified missing data issue during export from xxmobl to Dynamo DB impacting ~490 booked applications,adschiltz,,R1   JDFy roll out
RoCK document,blank,adschiltz,,None
IN   Pega and JDFy MSRP changes,MSRP field has been added in JDFy and Pega. This actual values for MSRP and NDLP will not change till JDFy go to prod and Utkarsh is no longer used. ,adschiltz,,R1   JDFy roll out
ICH fix for missing records,When ICH tables run to match applications and party ids to pull customer history the job is failing because of missing party ids. I clarified with Pranav  P7  that the impact is limited to 29 applications so far. P10 and P7 are working on deploying a fix but they are facing challenges due to limited data in lower environments for JDFy. Solution:I'll working with P10 and P7 on query validation on July 20th and get the changes pushed to production by July 21st  ,adschiltz,,R1   JDFy roll out
Adding data to JDFy Infrastructure,This is to add JDFy data to Risk infrastructure that includes:query development  Completed query validation  Completed integration with App job  pending  Target date July 29th ,adschiltz,,R1 Risk Infrastructure transition to EDL
JDFy Data validation,Data issues has been identified in the process of parsing JDfy data. The issue occurs when a records get deleted in JDFy with out replacement. Two part solution:1  P10  Eagle Eyes  will fix the code2  I'll work with P10 to create a validation criteria to systematically identity data quality issues in the future using Collibra DQ ,adschiltz,,R1   JDFy roll out
India Wirtgen,JDFY credit lens pegaTU,adschiltz,,None
Dealer ID rollup   L043,As a data user I want reliable data that will not be affected by RADB shutdown so that I can continue to run jobs,adschiltz,,Wholesale Infrastructure Documentation & Redesign
RevoQuest Data Automation,As a data user I want data to be automated so that processes cannot fail from manual interruptions,adschiltz,,US CA Wholesale Portfolio Mgmt
Migration: AccountFlex > MDG,blank,adschiltz,,None
Owner Guarantor Database,As a model developer I want to include owner guarantor data into model attributes so that risk can be fully measured and scored,adschiltz,,US CA Wholesale Auth Model  WAM 
Borrowing Base Infastructure,blank,adschiltz,,None
Receivables Charts   Breakout,As receivables migrate from L043 to SAP we have a desire to see them broke out categorically so that we can further assess current state and risk.,adschiltz,,R4 Portfolio Management   US CA Wholesale
L043 Slice 3 Migration: Turf Equipment,Slice 3 of L043 migration to SAP and EDL. Estimated late June at earliest. Likely to slide to July per Mark Hamilton. As a data user of wholesale receivables I want to connect to the data to report and run models from.    Our current focus is SLICE 3 which will impact Golf only Turf only and Golf & Turf dealers  those dealers with an Ag contract are not part of slice 3 . A limited pilot of slice 3 is targeted to begin late summer early Fall 2023.  This means if you are a downstream consumer of Inventory Sales Rental Incentives or Financial data and have NOT pointed your application to the appropriate data source by this time your application will break for the slice 3 pilot dealers.,adschiltz,,US CA Wholesale Portfolio Mgmt
L043 Slice 4  Migration: Ag Equipment,Slice 4 of L043 migration to SAP and EDL. Estimated late June at earliest. Likely to slide to July per Mark Hamilton. As a data user of wholesale receivables I want to connect to the data to report and run models from. M ,adschiltz,,US CA Wholesale Portfolio Mgmt
